fen,move
4k3/4P3/p1N5/1pp2P1p/8/4n3/PPP3P1/2K5 w - - 2 41,f6
4k3/4P3/p1N2P2/1ppn3p/8/8/PPP3P1/2K5 w - - 1 42,Kd2
4k3/4P3/p1N2n2/1pp4p/8/8/PPPK2P1/8 w - - 0 43,Ke3
8/3kP3/p1N2n2/1pp4p/8/4K3/PPP3P1/8 w - - 2 44,Kf4
8/4P3/p1k2n2/1pp4p/5K2/8/PPP3P1/8 w - - 0 45,Kf5
4n3/4P3/p1k5/1pp2K1p/8/8/PPP3P1/8 w - - 2 46,Kg6
4n3/3kP3/p5K1/1pp4p/8/8/PPP3P1/8 w - - 4 47,Kxh5
4n3/4k3/p7/1pp4K/8/8/PPP3P1/8 w - - 0 48,g4
4n3/5k2/p7/1pp4K/6P1/8/PPP5/8 w - - 1 49,Kg5
8/5k2/p2n4/1pp3K1/6P1/8/PPP5/8 w - - 3 50,Kh6
8/5k2/p6K/1pp5/4n1P1/8/PPP5/8 w - - 5 51,g5
6k1/8/p6K/1pp3P1/4n3/8/PPP5/8 w - - 1 52,g6
6k1/8/6PK/ppp5/4n3/8/PPP5/8 w - - 0 53,Kh5
8/6k1/6P1/ppp4K/4n3/8/PPP5/8 w - - 2 54,c3
8/6k1/6P1/pp5K/2p1n3/2P5/PP6/8 w - - 0 55,b4
8/6k1/6P1/1p5K/pPp1n3/2P5/P7/8 w - - 0 56,a3
8/6k1/6P1/1p5K/pPp5/P1n5/8/8 w - - 0 57,Kg5
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e4
